Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"1","Cemindia Projects Ltd","CEMPRO","815.25","20%","1,97,66,290",""
"2","MTAR Technologies Ltd","MTARTECH","6,457.1","14.15%","35,12,651",""
"3","Rpg Life Sciences Limited","RPGLIFE","2,295","13.03%","16,83,294",""
"4","Meesho Ltd","MEESHO","193.13","11.84%","15,01,63,771",""
"5","Gujarat Alkalies And Chemicals Limited","GUJALKALI","800.95","8.86%","15,85,922",""
"6","Mawana Sugars Limited","MAWANASUG","113.03","8.84%","17,16,386",""
"7","HFCL Ltd","HFCL","116.03","8.34%","23,47,23,195",""
"8","Syngene International Limited","SYNGENE","467.65","8.21%","5,92,74,654",""
"9","Dhampur Sugar Mills Limited","DHAMPURSUG","155.35","7.82%","73,89,268",""
"10","BLS E-Services Ltd","BLSE","197.57","7.25%","10,92,269",""
"11","Gujarat Fluorochemicals Ltd","FLUOROCHEM","3,602","7.16%","5,07,417",""
"12","Inventurus Knowledge Solutions Ltd","IKS","1,654.7","6.22%","13,29,919",""
"13","Balu Forge Industries Ltd","BALUFORGE","541.4","5.45%","19,47,780",""
"14","Newgen Software Technologies Ltd","NEWGEN","505.75","5.33%","1,26,85,665",""
"15","Gujarat Kidney & Super Speciality Ltd","GKSL","125.22","5.33%","14,43,410",""
"16","Dalmia Bharat Sugar And Industries Limited","DALMIASUG","397.5","5.19%","9,70,834",""
"17","Sigma Advanced System Ltd","SIGMAADV","287.64","5%","15,73,591",""
"18","Time Technoplast Limited","TIMETECHNO","193.01","4.79%","91,09,682",""
"19","Bajaj Auto Limited","BAJAJ-AUTO","9,994","4.72%","12,09,264",""
"20","Pondy Oxides & Chemicals Ltd","POCL","1,377.8","4.54%","7,57,742",""
"21","Tenneco Clean Air India Ltd","TENNIND","621.75","4.47%","24,80,278",""
"22","Aarti Pharmalabs Ltd","AARTIPHARM","740.25","4.39%","5,30,126",""
"23","MAS Financial Services Ltd","MASFIN","339.9","4.3%","15,31,804",""
"24","Afcons Infrastructure Ltd","AFCONS","339.7","4.06%","12,74,611",""
"25","Anupam Rasayan India Ltd","ANURAS","1,343.8","3.79%","5,37,387",""
"26","Elecon Engineering Company Limited","ELECON","506.65","3.77%","7,83,278",""
"27","Rategain Travel Technologies Ltd","RATEGAIN","602.6","3.71%","10,28,705",""
"28","Talbros Automotive Components Limited","TALBROAUTO","332.65","3.67%","5,95,846",""
"29","Acutaas Chemicals Ltd","ACUTAAS","2,594.1","3.66%","26,68,458",""
"30","Thirumalai Chemicals Limited","TIRUMALCHM","204.13","3.57%","6,12,660",""
"31","Surya Roshni Limited","SURYAROSNI","250.12","3.54%","29,04,927",""
"32","Bliss Gvs Pharma Limited","BLISSGVS","276.76","3.52%","18,00,820",""
"33","Black Box Ltd","BBOX","639.6","3.45%","13,93,977",""
"34","Nuvoco Vistas Corporation Ltd","NUVOCO","296.7","3.45%","9,43,059",""
"35","Cohance Lifesciences Ltd","COHANCE","483.25","3.36%","1,24,87,304",""
"36","Camlin Fine Sciences Limited","CAMLINFINE","126.94","3.32%","22,93,815",""
"37","Transformers & Rectifiers India Ltd","TARIL","334.2","3.31%","64,34,456",""
"38","Cyient Limited","CYIENT","871.75","3.26%","5,87,705",""
"39","Cupid Limited","CUPID","119.58","3.23%","1,47,16,726",""
"40","Gujarat Ambuja Exports Limited","GAEL","155.75","2.87%","17,08,960",""
"41","Urban Company Ltd","URBANCO","151.66","2.86%","1,49,89,665",""
"42","SG Mart Ltd","SGMART","571","2.8%","7,31,399",""
"43","IIFL Finance Ltd","IIFL","458.95","2.66%","1,73,44,362",""
"44","KPIT Technologies Ltd","KPITTECH","759.05","2.57%","28,77,480",""
